0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154
0.9999999,0.53634816,0.2329509,0.51537234,0.3529606,0.59890974,0.31756467,0.43786836,0.43123227,0.4964649,0.47254196,0.29921716,0.33180708,0.30984634,0.52986807,0.42758137,0.4990397,0.55143774,0.5264058,0.38357896,0.49911624,0.55187106,0.3921044,0.5877632,0.6195415,0.638193,0.50225973,0.5412326,0.56231153,0.14115536,0.39739567,0.44202197,0.4591043,0.41138023,0.25129455,0.6084268,0.2703879,0.1734997,0.49908572,0.37083793,0.5728068,0.30184773,0.6204486,0.38360018,0.4324817,0.38586468,0.43796873,0.48245248,0.58402735,0.50437987,0.4100264,0.5077041,0.5985478,0.5583358,0.2791794,0.289913,0.27791023,0.44838202,0.38442117,0.31876737,0.38278058,0.3520032,0.37084708,0.27565357,0.42570934,0.38789684,0.2527,0.40732884,0.36455387,0.40097934,0.3584862,0.488773,0.3075412,0.24643117,0.23776314,0.3203578,0.75595665,0.34216928,0.4500628,0.39342105,0.45633385,0.45382294,0.5767404,0.48307607,0.3774799,0.38588,0.34892213,0.57097656,0.41792852,0.51139444,0.4242574,0.6069521,0.47321883,0.32688698,0.45376033,0.31597048,0.5810188,0.44378987,0.48856348,0.6075216,0.47436583,0.43322593,0.42158294,0.4726711,0.32332337,0.587126,0.48316717,0.52459717,0.32959452,0.5149392,0.49731094,0.46592945,0.41287175,0.49860796,0.23868951,0.4556563,0.60012186,0.45385826,0.2316353,0.5045947,0.26619998,0.31774628,0.34001142,0.30789733,0.22381704,0.35462987,0.5838046,0.42210972,0.35545075,0.6651709,0.50639653,0.41989374,0.41548088,0.30922005,0.47085297,0.39900434,0.26279438,0.36847925,0.40640256,0.39102724,0.3245051,0.44135168,0.4806027,0.13426054,0.18144518,0.6436842,0.23181638,0.3357455,0.47708714,0.4776717,0.54845935,0.4807863,0.32110077,0.48433238,0.28700075
0.53634816,0.99999994,0.0972686,0.41248,0.31988394,0.4010234,0.28823572,0.53115404,0.3608871,0.4463026,0.3572445,0.34418988,0.22871447,0.2579124,0.44175377,0.3945676,0.37418574,0.48968494,0.4730318,0.3390972,0.45286047,0.33090097,0.28928748,0.4155001,0.58529556,0.4561352,0.4432722,0.6083371,0.48205322,0.26225197,0.35235518,0.4061883,0.31666556,0.261036,0.21211171,0.4663344,0.16672036,0.1946995,0.53047544,0.38583696,0.412771,0.22809115,0.56874245,0.20360276,0.43342566,0.4302327,0.2159592,0.38288376,0.29713875,0.3841349,0.17633536,0.31252247,0.3383158,0.5155904,0.28047842,0.32857728,0.33105254,0.44896734,0.37458363,0.32910955,0.39358893,0.49201146,0.3819657,0.3982058,0.481964,0.44412977,0.35241497,0.44385177,0.35120296,0.26691383,0.35722023,0.2450139,0.26612866,0.2212787,0.26914525,0.35061628,0.370081,0.41041762,0.41708612,0.18684974,0.25049406,0.38073367,0.3521341,0.5314834,0.38631603,0.38610584,0.45763713,0.39523795,0.39920187,0.3990752,0.21201396,0.5821394,0.31594503,0.19706851,0.3571781,0.42619377,0.40985477,0.4471646,0.16737802,0.46004707,0.40425992,0.25397325,0.35424098,0.22509192,0.36504376,0.3329116,0.45966095,0.3752485,0.34388825,0.5252702,0.36489308,0.46846133,0.38086253,0.43084538,0.22778809,0.45295113,0.39669612,0.41507906,0.46444762,0.3589915,0.24824053,0.27019006,0.35297254,0.33210355,0.37656164,0.40759924,0.4277349,0.4409017,0.40952528,0.45879745,0.54963857,0.16729364,0.27121595,0.22607382,0.34082657,0.56626034,0.48800164,0.35665762,0.34220046,0.4690987,0.28910625,0.39978957,0.3714459,0.24419719,0.23807195,0.5417422,0.1315968,0.27050325,0.29071966,0.25397304,0.32654008,0.39829034,0.333071,0.46871942,0.27485275
0.2329509,0.0972686,1.0,0.1279644,-0.021116694,0.22054678,0.11115027,0.21396533,0.17423649,0.12180924,0.22029091,0.3021704,0.23551896,0.43965393,0.19199128,0.23442842,0.12976298,0.15682629,0.18757957,0.17547546,0.29312426,0.24124709,0.00942396,0.15739287,0.1638014,0.16626896,0.33481577,0.20855299,0.16508621,0.05916935,0.10933514,0.27872634,0.11026406,0.21489716,0.15931247,0.2854885,0.19453433,0.20748371,0.14688185,0.23602748,0.31933516,0.26349795,0.13292752,0.35941297,0.11374041,0.14947861,0.2238296,0.19067258,0.23704705,0.15624255,0.49217665,0.25688767,0.32966334,0.25208163,0.028536672,0.16204858,0.070140794,0.1352999,0.25607085,0.25528878,0.04600574,0.21594186,0.25628173,0.09295583,0.17765987,0.119373955,0.1829684,0.19196388,0.24614745,0.111523375,0.24761346,0.25166076,0.16829896,0.084858015,0.11373319,0.19751342,0.22904782,0.25558126,0.13967729,0.09592219,0.117244355,0.21403883,0.1686747,0.20760547,0.40816134,0.14019936,0.18133134,0.2636564,0.17430173,0.15629315,0.12331806,0.0972614,0.11779189,-0.0109999925,0.14279313,0.05904115,0.12575346,0.20571163,0.19124605,0.21063477,0.11820739,0.11826941,0.14618026,0.17331064,0.2526039,0.22951785,0.1748676,0.4452182,0.22198519,0.16671887,0.19496971,0.104336776,0.12223392,0.046668254,0.2484574,0.018504605,0.20193085,0.14838333,0.0651557,0.092362225,0.1942846,0.12273817,0.23360449,0.17085606,0.17207727,0.07844488,0.20305039,0.20386332,0.1301498,0.3484062,0.24538586,0.57537735,0.22618014,0.33309746,0.21310948,0.09857075,0.07982425,0.24595582,0.05794525,0.0919034,0.07839345,0.10621097,0.120129116,0.17622331,0.039715357,0.11248073,0.27947032,0.24757388,0.18462768,0.14287215,0.1561139,0.23197773,0.093063965,0.2278131,0.034537956
0.51537234,0.41248,0.1279644,0.9999999,0.44251186,0.5231844,0.33358252,0.3499019,0.37418658,0.59233725,0.44257814,0.39512277,0.3327654,0.2402327,0.45358455,0.25963154,0.46107107,0.40754858,0.4202981,0.2901459,0.45012718,0.5243695,0.57401145,0.54469365,0.4340272,0.41328055,0.4475367,0.4292289,0.48548245,0.24631627,0.28866386,0.46743226,0.26078406,0.36451423,0.32238472,0.54178107,0.31445745,0.22576693,0.4205672,0.21589357,0.37492764,0.33252382,0.4660361,0.3041959,0.4022929,0.36588758,0.34685564,0.28633356,0.44706732,0.5419584,0.4091406,0.60346305,0.62665236,0.47318712,0.3365137,0.29609078,0.34210667,0.44978032,0.2921136,0.32871684,0.37905118,0.38784444,0.47165367,0.2977508,0.4765503,0.34627667,0.2629873,0.40443283,0.37634212,0.4953006,0.38378447,0.39261922,0.4165739,0.20567128,0.314588,0.33944973,0.55688447,0.3767973,0.33892325,0.5001246,0.44948545,0.41331035,0.59304535,0.4759375,0.34898698,0.6543771,0.34549916,0.4080323,0.43331257,0.5111917,0.28612062,0.4865087,0.41471094,0.58210564,0.4350434,0.41941422,0.2761255,0.36654285,0.41548604,0.36828163,0.6028341,0.3774444,0.44895428,0.27879313,0.40581354,0.25971815,0.33949625,0.35628462,0.15920529,0.35574687,0.72688127,0.4653874,0.44418117,0.570652,0.22790909,0.5139069,0.38029176,0.3762175,0.28616825,0.54644537,0.26161614,0.29098636,0.36329138,0.34044385,0.2902799,0.5678664,0.33678892,0.3072598,0.2503739,0.35699552,0.3960845,0.35993862,0.40617,0.30742866,0.52254635,0.35228837,0.2995814,0.29270756,0.42503792,0.4765713,0.42868215,0.39163166,0.47866797,0.36901993,0.26041543,0.5684836,0.30719644,0.44919062,0.38499057,0.5278575,0.57162404,0.509322,0.39875555,0.44231567,0.3387039
0.3529606,0.31988394,-0.021116694,0.44251186,0.99999964,0.50213253,0.3508511,0.27640498,0.44804692,0.58148825,0.31944615,0.24859908,0.26657802,0.12757666,0.4181336,0.19574848,0.4460131,0.41421708,0.39458114,0.41248807,0.26819408,0.44244683,0.43840468,0.44110686,0.30358458,0.20792916,0.33228573,0.32278445,0.2417261,0.109623395,0.24619871,0.31515697,0.24332792,0.21958786,0.14991777,0.37656003,0.20729932,0.13664863,0.26377213,0.16198564,0.33644265,0.23286249,0.2698797,0.102346376,0.21167523,0.3751555,0.26180026,0.18766642,0.17934602,0.47984728,0.17377445,0.47042286,0.42785352,0.34884638,0.35960254,0.41399232,0.27441657,0.27553204,0.26496893,0.22865433,0.63313895,0.3185395,0.27444422,0.26776272,0.3720742,0.29893684,0.2192934,0.3025103,0.3001383,0.32033974,0.36954334,0.28858832,0.33204183,0.24646276,0.19700666,0.27503774,0.37473923,0.17865545,0.2735096,0.2560078,0.22116923,0.280565,0.49320215,0.29063874,0.30928558,0.20524298,0.34767604,0.2654832,0.379888,0.54624534,0.18177189,0.3312379,0.35208303,0.17458445,0.44623363,0.38237423,0.09627992,0.24042702,0.024124295,0.23184404,0.5222709,0.303496,0.35228282,0.21803856,0.31340843,0.12951142,0.2997418,0.18614773,0.26189983,0.3837182,0.4153208,0.3080985,0.36812842,0.5358623,0.28937307,0.8940038,0.18085492,0.33049554,0.3808223,0.25788403,0.26012868,0.26671076,0.3097338,0.30150062,0.35141551,0.25419885,0.18032077,0.32477635,0.18331413,0.18449944,0.2729286,0.08996058,0.1250707,0.29803908,0.42489687,0.34543002,0.33934826,0.35798487,0.33055824,0.2564634,0.4096681,0.20479673,0.3484517,0.18694136,0.20135802,0.50258446,0.25503653,0.20408848,0.16791227,0.11602402,0.41037995,0.2825585,0.24423425,0.2857429,0.16132018
0.59890974,0.4010234,0.22054678,0.5231844,0.50213253,0.99999994,0.39239097,0.47375616,0.592778,0.7381752,0.4445356,0.38092136,0.24378917,0.32903457,0.6309589,0.37289822,0.5452511,0.5370096,0.6190711,0.53167164,0.42777187,0.5584463,0.3681425,0.4867283,0.51442,0.53409344,0.6145016,0.50375223,0.34189504,0.18370187,0.23295563,0.4802958,0.5008057,0.4873821,0.23306772,0.6841775,0.4650002,0.32753503,0.42036074,0.3887269,0.4813475,0.31771538,0.5011802,0.3759321,0.49458104,0.35732317,0.24367695,0.50584024,0.27268142,0.569162,0.2737943,0.4506607,0.48827484,0.5953419,0.32649797,0.54710746,0.23774506,0.43745768,0.34348541,0.3753721,0.42963538,0.49929756,0.47060204,0.49309003,0.45724523,0.47224087,0.23851791,0.5217797,0.46690834,0.48822707,0.40821734,0.35674697,0.34638998,0.2521522,0.35120392,0.3918997,0.49645752,0.34860462,0.57377046,0.33532226,0.21883737,0.57795787,0.557557,0.38758922,0.30465007,0.31950897,0.3998358,0.3400743,0.44317573,0.594735,0.21856871,0.5107993,0.2652233,0.2429963,0.47637704,0.33163536,0.25158477,0.5510792,0.21211056,0.4006109,0.58398175,0.26951122,0.37242255,0.24369769,0.3852005,0.41185886,0.63299274,0.39836895,0.47622144,0.46393687,0.5193626,0.38340175,0.5115013,0.50000215,0.3547366,0.5194436,0.29032665,0.5454407,0.37957954,0.34593225,0.31086278,0.32180905,0.43375695,0.2643066,0.2967457,0.31457347,0.29648465,0.57647574,0.18973428,0.39315236,0.45907447,0.2742141,0.24413761,0.39939183,0.45420095,0.44864297,0.34421992,0.5164052,0.31290925,0.4038296,0.500229,0.33821315,0.49493545,0.31735379,0.26862895,0.5705875,0.14565408,0.3589282,0.38102895,0.24217895,0.48601475,0.46991956,0.20300491,0.59746397,0.22281978
0.31756467,0.28823572,0.11115027,0.33358252,0.3508511,0.39239097,1.0,0.38815588,0.37949613,0.42505693,0.24303564,0.34003654,0.3752371,0.33275294,0.36737704,0.27616856,0.26758176,0.18446675,0.31212777,0.22355604,0.4567924,0.46534002,0.40444326,0.39586812,0.34339774,0.33981174,0.24466327,0.5018925,0.48613864,0.20136496,0.2720299,0.41451043,0.25484112,0.29058743,0.29325885,0.4117362,0.38495007,0.3407364,0.33793616,0.32178468,0.27556074,0.3862738,0.32612833,0.14508207,0.3416051,0.36931735,0.37820226,0.22743896,0.27852744,0.23344132,0.30826157,0.33823994,0.3183774,0.37453258,0.8864186,0.47046858,0.20117101,0.34257054,0.26542,0.21837091,0.28171384,0.313042,0.3275267,0.25251168,0.5082058,0.32726783,0.34295887,0.555218,0.10740745,0.35297918,0.21350849,0.24615034,0.37703246,0.21215379,0.26919585,0.2465958,0.41118735,0.2813542,0.35057846,0.32668555,0.43898463,0.6637875,0.4216408,0.33920127,0.4447441,0.35013148,0.31063357,0.38336858,0.3656925,0.30107966,0.34056485,0.41227543,0.16078344,0.01218107,0.3068923,0.39694053,0.3780979,0.39755636,0.15482676,0.32376283,0.58971035,0.35729676,0.35803536,0.29171178,0.41007122,0.43330282,0.5692321,0.36385167,0.50015754,0.54192036,0.1921601,0.4997437,0.4568001,0.3277772,0.69400036,0.4327404,0.40299118,0.5307302,0.5083862,0.49287432,0.13690926,0.1133475,0.2376222,0.2270547,0.26977628,0.27279356,0.2773978,0.38233453,0.1422906,0.26847473,0.31037286,0.3440681,0.32550335,0.13318683,0.34065622,0.34274137,0.44401714,0.33749384,0.5516673,0.4458052,0.45117557,0.31040484,0.23906937,0.30363113,0.54550076,0.3571576,0.35275456,0.23923782,0.3799133,0.45725006,0.26916578,0.4562555,0.40350324,0.5074564,0.28023756
0.43786836,0.53115404,0.21396533,0.3499019,0.27640498,0.47375616,0.38815588,0.99999976,0.4316963,0.56252253,0.27669883,0.4253736,0.30057475,0.42651072,0.5470411,0.42364734,0.54785985,0.44063672,0.54063874,0.43407714,0.558239,0.45824546,0.29342696,0.54402906,0.58953094,0.4082902,0.43192518,0.7734457,0.57448936,0.3225119,0.3696323,0.5389591,0.42751825,0.39075208,0.2579791,0.44289243,0.37308523,0.31966168,0.4124822,0.31905633,0.442168,0.3479628,0.4245295,0.38205233,0.56646216,0.50045276,0.39434654,0.52360934,0.39299104,0.30578542,0.31351978,0.3159023,0.23502319,0.59851,0.35362148,0.4750346,0.33245406,0.4336301,0.43181062,0.49382544,0.3924304,0.58487236,0.4854269,0.5239345,0.6698245,0.580251,0.51718104,0.5390777,0.4667123,0.42036068,0.42387056,0.3591173,0.40325904,0.24565583,0.35404766,0.5287289,0.40522927,0.5057794,0.52597225,0.21986626,0.34493893,0.36456817,0.34778264,0.43347383,0.2360079,0.34712145,0.6328436,0.48406976,0.47117454,0.47146615,0.24234554,0.45540938,0.3696148,0.17706662,0.33356577,0.48546576,0.421266,0.5050634,0.30286503,0.40332568,0.43059933,0.3465733,0.44644493,0.38675213,0.44848722,0.37381998,0.44440836,0.4546949,0.38314834,0.48027724,0.3111664,0.47546762,0.48830625,0.21770981,0.24120162,0.43137923,0.50844926,0.5951091,0.5788905,0.4801906,0.3054702,0.28187007,0.38086244,0.33899736,0.5192139,0.3070349,0.2778042,0.39796767,0.397717,0.47248358,0.47271323,0.3454669,0.3017065,0.36012316,0.3486365,0.44465154,0.5218998,0.30885264,0.38469604,0.46862024,0.3154923,0.2873409,0.44260228,0.3641884,0.30810243,0.34548408,0.15916218,0.3434586,0.24484864,0.33014235,0.34229547,0.55469644,0.4305945,0.54662144,0.2896574
0.43123227,0.3608871,0.17423649,0.37418658,0.44804692,0.592778,0.37949613,0.4316963,1.0,0.6332315,0.5163747,0.49466452,0.51955605,0.5999721,0.5618998,0.39401436,0.5411956,0.53264797,0.5960082,0.5136197,0.41910636,0.6246166,0.39692208,0.55911624,0.42786396,0.4795384,0.5480078,0.48271996,0.33560723,0.28202602,0.3466469,0.56037337,0.4814905,0.5413113,0.28996703,0.47725743,0.42491138,0.3891183,0.24256553,0.50868434,0.44054717,0.33273363,0.36223313,0.23778552,0.32866734,0.555032,0.20525867,0.55010986,0.22288874,0.49596298,0.36177227,0.4148043,0.43130383,0.5520426,0.41238979,0.55688405,0.3311145,0.4474938,0.5779778,0.46460533,0.5712955,0.67102706,0.48960513,0.48616564,0.5222353,0.5327921,0.43081963,0.61444813,0.42030185,0.41104054,0.3894872,0.23247837,0.26214772,0.40261722,0.37507105,0.4024881,0.40474808,0.41550863,0.4711582,0.34743762,0.40963066,0.457628,0.60094976,0.27598405,0.32457918,0.20529091,0.38479728,0.3393764,0.36444747,0.5017819,0.1378023,0.40345746,0.36489177,0.22404057,0.42314643,0.38020724,0.18883222,0.34568024,0.19708592,0.3614546,0.54149914,0.33621773,0.3541119,0.32826588,0.35227025,0.33290708,0.39724803,0.44773906,0.5393822,0.48731148,0.39476317,0.30832106,0.39307678,0.44614786,0.38359278,0.50633526,0.119977415,0.32764402,0.48785722,0.27637753,0.4559092,0.40788215,0.5227735,0.37446406,0.5269954,0.24582413,0.2210728,0.3479249,0.21224645,0.32181397,0.34144476,0.25749692,0.2819578,0.4203952,0.43955117,0.36333215,0.44867527,0.48591626,0.3772688,0.44193584,0.5300377,0.29652902,0.5843359,0.34452534,0.46351612,0.47205335,0.30090815,0.3206582,0.28769276,0.25977063,0.43479463,0.4688062,0.33982354,0.41925588,0.52233785
0.4964649,0.4463026,0.12180924,0.59233725,0.58148825,0.7381752,0.42505693,0.56252253,0.6332315,1.0000002,0.4126299,0.46192652,0.37244636,0.313232,0.5808562,0.3726675,0.5832007,0.50174546,0.6085258,0.5140935,0.4192113,0.57639354,0.46399266,0.6354902,0.47878265,0.37779066,0.47662798,0.5451382,0.43440548,0.21613458,0.30100852,0.6609229,0.4930815,0.43512616,0.29058972,0.5749403,0.45737478,0.3303537,0.44195116,0.40142894,0.4382072,0.3312263,0.44276166,0.33358383,0.5742922,0.58062214,0.2986337,0.5287366,0.28897727,0.62956583,0.34826058,0.5393284,0.4859059,0.6073528,0.4659803,0.5669117,0.31045184,0.48895925,0.46426463,0.49719325,0.6178824,0.59931165,0.5822941,0.5794624,0.60210496,0.41556373,0.3130327,0.54876107,0.5066936,0.45492405,0.44133827,0.4339549,0.39738414,0.34370404,0.33635023,0.4316181,0.49141377,0.3919055,0.56722367,0.46822983,0.38008186,0.49019617,0.60770774,0.41716182,0.31702662,0.3591305,0.45191997,0.32410848,0.4162755,0.62559104,0.21069606,0.53555477,0.36410734,0.30512875,0.39429754,0.49807197,0.21743262,0.4879225,0.2140355,0.357984,0.8046266,0.40541643,0.40588957,0.23587033,0.4668131,0.25016338,0.46409744,0.3875266,0.38190705,0.50498533,0.52959275,0.46036297,0.5115013,0.49608445,0.3334453,0.6133284,0.25992322,0.48832208,0.45832908,0.44631097,0.30186015,0.3073534,0.45599282,0.30387622,0.4960453,0.35020977,0.26763117,0.42841345,0.27310944,0.33854848,0.43118554,0.3026333,0.29614526,0.37059772,0.57270175,0.45530084,0.41387087,0.3493707,0.43545002,0.4430674,0.5600523,0.32210344,0.53136295,0.44954956,0.36043054,0.58786196,0.24529612,0.3876252,0.2558686,0.35941917,0.53917843,0.5307845,0.32630634,0.57312775,0.38444278
