0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
0.9999998,0.5716597,0.5634437,0.6723701,0.51373553,0.50821215,0.47775367,0.6225545,0.4317308,0.40841654,0.43281323,0.39967346,0.39892453,0.49740797,0.37024492,0.46402287,0.35734296,0.37266672,0.41066128,0.38590986,0.49840268,0.5233406,0.3083986,0.5996944,0.34263837,0.27533358,0.4557634,0.4760275,0.5492337,0.3230428,0.49691403,0.40807658,0.32373637,0.24904901,0.41014776,0.2764265,0.527869,0.335782,0.3864252,0.59367204,0.29631227,0.41731703,0.22204906,0.28935933,0.44638103,0.45241976,0.37722754,0.3686692,0.4620996,0.4158015,0.46720326,0.4462514,0.25065514,0.28727418,0.38254362,0.33158118,0.24851519,0.28264946,0.2957481,0.22916077,0.22433451,0.50862443,0.41680157,0.3221848,0.45340636,0.53379,0.41856107,0.53379,0.53058696,0.5667002,0.46283922,0.46283922,0.45505476,0.57303,0.53901196,0.32408458,0.36916554,0.44489244,0.37390095,0.3192883,0.45982668,0.2503838,0.36619264,0.3726887,0.28679955,0.24522617,0.46142894,0.26405084,0.369975,0.369975,0.46179667,0.40491802,0.39546794,0.4280222,0.4280222,0.33908123,0.6124885,0.47159958,0.43975455,0.4422477,0.31863955,0.22210486,0.37893027,0.3657732,0.3593808,0.33091742,0.4804368,0.47581923,0.47581923,0.4038205,0.3800717,0.42162907,0.44511223,0.47030815,0.5916678,0.42254406,0.5440675,0.4907971,0.36782265,0.35622087,0.34498435,0.41965026,0.34587932,0.36965865,0.5385965,0.60825694,0.46796113,0.4678494,0.30337846,0.35238308,0.45499754,0.4460569,0.4223917,0.45785183,0.40341115,0.47526893,0.43059754,0.5443433,0.27682608,0.41180348
0.5716597,0.99999994,0.66482127,0.7161256,0.653707,0.3633065,0.44571635,0.39550412,0.37320292,0.5017206,0.4850023,0.48976195,0.3932978,0.4746282,0.4861979,0.59581053,0.5534849,0.57184875,0.31428203,0.33623433,0.51440346,0.49965966,0.36753616,0.43417928,0.3891163,0.3896469,0.4582848,0.52024305,0.483646,0.3463218,0.6712885,0.4805079,0.408143,0.31702876,0.40533435,0.36592567,0.591482,0.47352028,0.5228175,0.5988854,0.37110615,0.35516524,0.28586218,0.36732236,0.47394615,0.56807315,0.34692454,0.606515,0.5015567,0.5168065,0.43108505,0.3985182,0.24288578,0.30835354,0.42497918,0.3316216,0.29402968,0.39889917,0.28755185,0.22764674,0.26159656,0.49039388,0.24569377,0.37216917,0.5288979,0.49616015,0.4374352,0.49616015,0.4795072,0.34162694,0.3879918,0.3879918,0.60299385,0.5334165,0.53271294,0.38557535,0.34714073,0.5572658,0.41912687,0.42290184,0.3327833,0.082142845,0.19566639,0.3404684,0.29276863,0.24208581,0.57697284,0.30790544,0.31906435,0.31906435,0.517486,0.2900074,0.3439743,0.3673153,0.3673153,0.30019483,0.56094503,0.3426526,0.29380062,0.36389917,0.54201305,0.3567261,0.50660104,0.32410884,0.3803258,0.17211607,0.47510225,0.4371223,0.4371223,0.4428622,0.3747586,0.40722185,0.43867624,0.43038946,0.5374533,0.4469901,0.47126627,0.31068507,0.28052288,0.23935759,0.2904815,0.43669292,0.26831928,0.2021366,0.57157016,0.63345444,0.34277296,0.45444605,0.3242724,0.20272945,0.24313924,0.442474,0.371889,0.40259892,0.35720322,0.4032621,0.38983262,0.3533788,0.27558553,0.57741094
0.5634437,0.66482127,1.0,0.7495414,0.70156,0.47469583,0.56567115,0.49047387,0.3851465,0.5563319,0.63230276,0.5953696,0.45889908,0.5178232,0.47863144,0.5733142,0.53171396,0.5384274,0.2906891,0.34137273,0.5290452,0.61036044,0.43031812,0.50711536,0.45869845,0.44136223,0.51185656,0.5067105,0.5974859,0.47561467,0.6008558,0.5886382,0.43890256,0.39534497,0.49429893,0.34916896,0.68277854,0.49504018,0.48871195,0.66306007,0.4162855,0.4097517,0.38887012,0.41435224,0.48926184,0.51148677,0.366894,0.5661191,0.54425704,0.5772231,0.619069,0.5761537,0.2540692,0.34594512,0.49339804,0.2800242,0.32231605,0.48482537,0.23217642,0.2412088,0.32182246,0.63158375,0.24949268,0.39178208,0.53211755,0.5243261,0.56634593,0.5243261,0.5334886,0.5167795,0.53291535,0.53291535,0.72173893,0.61885095,0.6365326,0.53764236,0.5091277,0.64702356,0.6147547,0.5512137,0.5317452,0.19547142,0.4135382,0.48220074,0.35911912,0.3264349,0.79080904,0.51533556,0.43873543,0.43873543,0.57034516,0.36868143,0.51072204,0.54288256,0.54288256,0.38560063,0.7227087,0.4701218,0.4346897,0.45513248,0.4791211,0.36249048,0.46759325,0.3093326,0.46831542,0.17161408,0.47249585,0.4496349,0.4496349,0.46016902,0.534784,0.52581537,0.52500165,0.5326035,0.58436763,0.57551557,0.5729207,0.4370069,0.3924684,0.3052823,0.42232645,0.49735522,0.33472538,0.34902182,0.64810365,0.55828464,0.41408065,0.47108606,0.5297525,0.34343988,0.3100973,0.5719185,0.57159334,0.58024955,0.5777674,0.5468435,0.5819427,0.412153,0.42844737,0.6280593
0.6723701,0.7161256,0.7495414,0.99999994,0.724359,0.5512329,0.5353429,0.53156763,0.4843138,0.6136414,0.5882522,0.5706184,0.5486784,0.5573139,0.482578,0.6127241,0.4858631,0.518765,0.3384809,0.42396,0.570044,0.6074614,0.3536023,0.54574907,0.46291268,0.46522212,0.5875272,0.5521569,0.63892245,0.48719475,0.6968427,0.60005295,0.3945676,0.37964416,0.4330088,0.3376159,0.7111726,0.4817797,0.5151961,0.75703365,0.3735655,0.4395014,0.31265843,0.35730964,0.61378026,0.55535156,0.3507565,0.5913675,0.50141513,0.5389621,0.54701066,0.51252335,0.25558233,0.34644082,0.5477298,0.24144624,0.22923948,0.4176342,0.2901588,0.27161264,0.2735495,0.5538448,0.33458614,0.47308677,0.68659574,0.5666661,0.48513454,0.5666661,0.5800954,0.543599,0.5379169,0.5379169,0.6108842,0.5746213,0.6561254,0.43529636,0.38622224,0.5928266,0.4838881,0.5311817,0.47928178,0.08144662,0.40887702,0.5224769,0.37471735,0.38628083,0.6396262,0.39979893,0.4318121,0.4318121,0.6426981,0.2856763,0.3420571,0.4147684,0.4147684,0.30833024,0.6611068,0.3550145,0.36516938,0.3751338,0.52236927,0.3428061,0.4706483,0.41531515,0.53186715,0.22093847,0.5308127,0.4915881,0.4915881,0.40043426,0.4875555,0.5232028,0.53769666,0.58216166,0.61609983,0.5795096,0.5670348,0.4183125,0.3064707,0.31067437,0.35291526,0.48931503,0.3236031,0.3917756,0.62053394,0.6461208,0.4776714,0.52674794,0.40659997,0.2971285,0.3677503,0.49508184,0.4567569,0.44841117,0.46566218,0.4309079,0.46410656,0.44482404,0.29600894,0.5909185
0.51373553,0.653707,0.70156,0.724359,0.9999999,0.40847626,0.53881216,0.4234311,0.51496464,0.73402363,0.56400585,0.5679872,0.46788102,0.6080695,0.6025101,0.6729095,0.6007699,0.6460546,0.40615988,0.39751306,0.5678103,0.5204636,0.49188006,0.45715088,0.5249833,0.54118353,0.6392304,0.60978246,0.55032444,0.50293493,0.69149554,0.5870935,0.54851717,0.4496305,0.58331466,0.451374,0.7185681,0.5525199,0.63284016,0.6500348,0.40103343,0.47559378,0.3363675,0.35062528,0.534351,0.6128069,0.5094839,0.6226007,0.6017192,0.64338493,0.49477375,0.4439261,0.21245247,0.32226005,0.56515974,0.25546825,0.27186516,0.30236512,0.32987377,0.34730923,0.33269486,0.5475417,0.3516667,0.40405792,0.52120936,0.6420681,0.44354844,0.6420681,0.46735376,0.40349162,0.48154393,0.48154393,0.6256499,0.5302276,0.58919495,0.44602153,0.40338552,0.52993643,0.40458757,0.5240576,0.34288323,0.050896313,0.25702345,0.41389692,0.31498298,0.27984798,0.6577208,0.38321382,0.36043862,0.36043862,0.64403796,0.40777868,0.34587944,0.41895676,0.41895676,0.34116858,0.5589056,0.35433236,0.28139263,0.38350505,0.62761843,0.4968838,0.5581486,0.38505438,0.61937183,0.20930673,0.7694386,0.64888346,0.64888346,0.510581,0.50111485,0.5375947,0.6111482,0.51559794,0.58741134,0.5035094,0.5952635,0.3825675,0.29976118,0.32766658,0.3958239,0.45332146,0.3579328,0.35323963,0.6142278,0.5879774,0.4647777,0.47107607,0.3727522,0.3275927,0.34346497,0.5309119,0.48096067,0.49364734,0.51286024,0.5052271,0.50091875,0.419278,0.43028837,0.69369876
0.50821215,0.3633065,0.47469583,0.5512329,0.40847626,0.9999998,0.6114444,0.64946425,0.36041722,0.36653417,0.4175862,0.36810946,0.34869117,0.42229104,0.2852752,0.36571825,0.19350407,0.25600564,0.4627306,0.45308024,0.5662,0.50922537,0.3947969,0.52576387,0.17362806,0.260488,0.41955802,0.30758414,0.46305248,0.38126358,0.3738656,0.31302223,0.28738832,0.16285962,0.22838716,0.19216603,0.47396234,0.1663038,0.33313107,0.5415545,0.29509625,0.3528515,0.22656325,0.28577644,0.47866952,0.33222988,0.26516855,0.3353489,0.28197068,0.35775855,0.57672286,0.577894,0.27772707,0.31585258,0.36228794,0.20436877,0.17842706,0.2680199,0.1807912,0.20818745,0.1893672,0.47802186,0.48948014,0.3548836,0.4792095,0.473633,0.30960894,0.473633,0.4797352,0.49638146,0.43982953,0.43982953,0.36361796,0.47191882,0.55348265,0.30214605,0.27330232,0.31736046,0.30670607,0.23578489,0.34863183,0.13400103,0.29294258,0.31166583,0.22993527,0.24187559,0.35791036,0.28489652,0.35680866,0.35680866,0.3816746,0.18764931,0.226727,0.24997881,0.24997881,0.29245472,0.40009552,0.28619596,0.22694972,0.17818516,0.36206993,0.32085633,0.31638968,0.2695922,0.33112538,0.2931277,0.27075934,0.388844,0.388844,0.3308273,0.45381457,0.47529325,0.4616515,0.5866671,0.58062017,0.4593707,0.44531912,0.50826997,0.2899607,0.32016906,0.40403318,0.46964335,0.37628388,0.26937157,0.3681718,0.4213807,0.54108363,0.4747635,0.35215926,0.51819015,0.44455475,0.36517686,0.40029758,0.37240916,0.4134665,0.34046924,0.385208,0.54947686,0.27734163,0.29269975
0.47775367,0.44571635,0.56567115,0.5353429,0.53881216,0.6114444,1.0000001,0.66916794,0.52974594,0.49298406,0.46670434,0.48275948,0.48019278,0.57586896,0.39249694,0.3532983,0.3589863,0.37564674,0.47703463,0.5402616,0.5334919,0.52475095,0.55787575,0.4521446,0.1918934,0.30567253,0.41645807,0.37263614,0.38303396,0.2756077,0.38034654,0.5375397,0.39033145,0.15468986,0.26233077,0.19810994,0.54180384,0.18245783,0.36842442,0.6097323,0.44858307,0.45481408,0.33667773,0.35564977,0.34354973,0.33442348,0.52509105,0.40735984,0.3330397,0.37981573,0.6709385,0.6781384,0.26958027,0.4145316,0.47944906,0.17364433,0.26050478,0.33507627,0.1976988,0.17637756,0.29309958,0.56169367,0.4472412,0.4975089,0.49492657,0.58313847,0.35951185,0.58313847,0.57250273,0.5669953,0.6628817,0.6628817,0.48037902,0.7154831,0.66937566,0.27454668,0.38807425,0.37463975,0.33995646,0.26278326,0.3989979,0.17823952,0.28907117,0.30256516,0.3446657,0.2815047,0.46564406,0.30049545,0.28180107,0.28180107,0.31568015,0.31175658,0.28395027,0.30359837,0.30359837,0.26272324,0.42018077,0.32968396,0.29701763,0.31616193,0.40313,0.35750914,0.37853095,0.29604748,0.55429065,0.3648613,0.4166748,0.4506594,0.4506594,0.34150916,0.42574573,0.46716523,0.4718609,0.5088216,0.6506029,0.5266469,0.5737872,0.45499998,0.31059325,0.30900648,0.4220655,0.5089879,0.34778547,0.29872608,0.47769296,0.5412638,0.45542565,0.50627005,0.4511003,0.40878487,0.5005887,0.4211211,0.44573572,0.44102037,0.43961322,0.41443032,0.45442402,0.58363706,0.3313085,0.42260313
0.6225545,0.39550412,0.49047387,0.53156763,0.4234311,0.64946425,0.66916794,1.0,0.6068367,0.5125831,0.39812124,0.3908273,0.42498255,0.57642436,0.36952382,0.33383387,0.31235898,0.29599077,0.5297253,0.499353,0.5164051,0.5892539,0.45100632,0.56237286,0.17760155,0.24743748,0.3593059,0.44499785,0.43887347,0.36621505,0.4119286,0.4998701,0.35617307,0.20752242,0.2975549,0.14192623,0.50285006,0.19399783,0.25918627,0.48185492,0.36924714,0.40408877,0.24652511,0.38283038,0.54896903,0.33263665,0.4769293,0.30715907,0.39339435,0.37072545,0.52630305,0.5629021,0.29622835,0.38980746,0.43694043,0.1902202,0.30186453,0.28727043,0.27030256,0.23417655,0.28319082,0.5278604,0.5703647,0.473541,0.5303509,0.63985276,0.3642639,0.63985276,0.49637133,0.53145295,0.5583595,0.5583595,0.4485892,0.6378207,0.5928997,0.22969145,0.43295366,0.37592638,0.350569,0.21224037,0.4281763,0.291691,0.39096788,0.388516,0.24698775,0.29014853,0.3566196,0.29879835,0.2524751,0.2524751,0.3872748,0.3969667,0.34051168,0.3358671,0.3358671,0.3080804,0.42165744,0.3413483,0.35542142,0.33907437,0.36732867,0.3492185,0.44262373,0.39483166,0.3692307,0.28272894,0.4526967,0.56640244,0.56640244,0.42107087,0.40585,0.43653953,0.44460517,0.5660132,0.5794719,0.49897122,0.54603267,0.54467916,0.41483453,0.35428685,0.38031173,0.48154375,0.348434,0.4185387,0.47325587,0.55929005,0.5242509,0.53318894,0.41212833,0.40415865,0.54413426,0.42957827,0.47580937,0.4895056,0.46031874,0.45922238,0.43470964,0.5473813,0.36351338,0.37759572
0.4317308,0.37320292,0.3851465,0.4843138,0.51496464,0.36041722,0.52974594,0.6068367,0.99999976,0.6565668,0.34631366,0.5614257,0.67395675,0.53326774,0.4464121,0.38183343,0.33161283,0.50112146,0.35841364,0.37470245,0.50967145,0.4294808,0.41939664,0.2923199,0.23025629,0.3533256,0.4430232,0.52841353,0.25288492,0.363565,0.46729052,0.46816802,0.44260937,0.25837398,0.22952703,0.14360061,0.47564453,0.3296525,0.46285003,0.53397477,0.38750747,0.40684533,0.34762526,0.3041871,0.48794657,0.4941777,0.42134744,0.43369973,0.3545762,0.2813186,0.32520247,0.30841556,0.19948894,0.3297025,0.66345495,0.080318585,0.1704776,0.26323253,0.21463841,0.22971675,0.31513557,0.34982976,0.38472244,0.5242121,0.54398656,0.6074077,0.14085045,0.6074077,0.5149867,0.36915916,0.33545977,0.33545977,0.4693575,0.4832909,0.5241641,0.15006486,0.20116198,0.4520216,0.23714122,0.25106025,0.30655274,0.030351348,0.32765412,0.28987885,0.28079265,0.34724203,0.2948522,0.23695165,0.04193775,0.04193775,0.2858998,0.22957447,0.047327507,0.11181225,0.11181225,0.18266852,0.25636578,0.05466494,0.13684054,0.19502418,0.38593942,0.48901778,0.35118115,0.37831104,0.6088497,0.15554243,0.57316005,0.5710524,0.5710524,0.41026926,0.27441508,0.39189893,0.4329241,0.37294376,0.3740301,0.2839449,0.49254453,0.27473217,0.14219236,0.1048282,0.25810227,0.3421639,0.26434553,0.33703974,0.44336903,0.39229482,0.44078684,0.37457263,0.23948714,0.19495031,0.3519968,0.2458964,0.32967177,0.35784018,0.3445558,0.29492268,0.33653975,0.35974622,0.30083504,0.56846887
0.40841654,0.5017206,0.5563319,0.6136414,0.73402363,0.36653417,0.49298406,0.5125831,0.6565668,0.99999976,0.45874637,0.5836258,0.5005101,0.5922294,0.5031719,0.4773076,0.4932253,0.5497076,0.36355862,0.32842106,0.47911885,0.5369643,0.39017415,0.39145273,0.33972543,0.40732533,0.4721944,0.5208317,0.3779987,0.46347696,0.5851485,0.5790626,0.4970442,0.3566116,0.32878983,0.25997204,0.5440402,0.40805852,0.4741013,0.55316323,0.42724898,0.5443061,0.38368264,0.40488487,0.57697743,0.527982,0.44945806,0.56510615,0.4340733,0.41440365,0.40299118,0.4145606,0.23928173,0.34822387,0.7269909,0.14393914,0.2788198,0.30317867,0.25201765,0.18011272,0.3879243,0.42480668,0.4416124,0.50734913,0.57748115,0.6849342,0.30754948,0.6849342,0.5540654,0.44238812,0.50593156,0.50593156,0.5492083,0.59986067,0.586874,0.2913196,0.3214382,0.50627637,0.30004454,0.34653595,0.32708132,0.12074152,0.2853526,0.38446394,0.26444784,0.27829516,0.38652474,0.28284025,0.16112043,0.16112043,0.58126336,0.3957038,0.2066316,0.23221296,0.23221296,0.29263735,0.38152108,0.14332601,0.17096047,0.24616194,0.5449765,0.5000049,0.4302984,0.48877588,0.5496774,0.15526795,0.79164433,0.78131723,0.78131723,0.50622356,0.42561945,0.46174598,0.47816366,0.48203945,0.4425342,0.4037032,0.53386295,0.34367293,0.26315027,0.25604624,0.3549378,0.4368109,0.28996822,0.3466152,0.4596752,0.45363808,0.48320752,0.4885927,0.3832386,0.2692683,0.35769027,0.4427269,0.46241105,0.44893134,0.46450806,0.41212654,0.40527436,0.31404775,0.45727664,0.6227349
